[2018-10-18 00:21:16,971][INFO] Training started on cuda:0
[2018-10-18 02:03:48,760][INFO] [39/200] Time: 148.568805 s
[2018-10-18 02:03:48,761][INFO] ------------------------------
[2018-10-18 02:06:17,096][INFO] [40/200] Train loss: 267.685238 
[2018-10-18 02:06:18,405][INFO] [40/200] Validation loss: 279.752211 
[2018-10-18 02:06:18,408][INFO] [40/200] Time: 149.645436 s
[2018-10-18 02:06:18,409][INFO] ------------------------------
[2018-10-18 02:09:01,234][INFO] [41/200] Train loss: 205.636962 
[2018-10-18 02:09:02,474][INFO] [41/200] Validation loss: 220.277189 
[2018-10-18 02:09:02,477][INFO] [41/200] Time: 164.066983 s
[2018-10-18 02:09:02,479][INFO] ------------------------------
[2018-10-18 02:11:39,154][INFO] [42/200] Train loss: 228.442529 
[2018-10-18 02:11:40,375][INFO] [42/200] Validation loss: 243.269028 
[2018-10-18 02:11:40,378][INFO] [42/200] Time: 157.897469 s
[2018-10-18 02:11:40,379][INFO] ------------------------------
[2018-10-18 02:14:24,450][INFO] [43/200] Train loss: 235.338400 
[2018-10-18 02:14:25,706][INFO] [43/200] Validation loss: 251.878851 
[2018-10-18 02:14:25,709][INFO] [43/200] Time: 165.329121 s
[2018-10-18 02:14:25,711][INFO] ------------------------------
[2018-10-18 02:16:55,928][INFO] [44/200] Train loss: 227.049353 
[2018-10-18 02:16:57,240][INFO] [44/200] Validation loss: 238.291691 
[2018-10-18 02:16:57,243][INFO] [44/200] Time: 151.531766 s
[2018-10-18 02:16:57,245][INFO] ------------------------------
[2018-10-18 02:19:37,336][INFO] [45/200] Train loss: 251.755325 
[2018-10-18 02:19:38,673][INFO] [45/200] Validation loss: 264.254082 
[2018-10-18 02:19:38,676][INFO] [45/200] Time: 161.430083 s
[2018-10-18 02:19:38,677][INFO] ------------------------------
[2018-10-18 02:21:59,997][INFO] [46/200] Train loss: 194.423012 
[2018-10-18 02:22:01,233][INFO] [46/200] Validation loss: 208.244803 
[2018-10-18 02:22:01,266][INFO] [46/200] Time: 142.587869 s
[2018-10-18 02:22:01,268][INFO] ------------------------------
[2018-10-18 02:24:21,934][INFO] [47/200] Train loss: 252.910115 
[2018-10-18 02:24:23,175][INFO] [47/200] Validation loss: 267.028305 
[2018-10-18 02:24:23,177][INFO] [47/200] Time: 141.908519 s
[2018-10-18 02:24:23,179][INFO] ------------------------------
[2018-10-18 02:26:52,363][INFO] [48/200] Train loss: 216.919656 
[2018-10-18 02:26:53,636][INFO] [48/200] Validation loss: 229.950255 
[2018-10-18 02:26:53,639][INFO] [48/200] Time: 150.458983 s
[2018-10-18 02:26:53,640][INFO] ------------------------------
[2018-10-18 02:29:35,816][INFO] [49/200] Train loss: 237.988094 
[2018-10-18 02:29:36,985][INFO] [49/200] Validation loss: 250.218313 
[2018-10-18 02:29:36,988][INFO] [49/200] Time: 163.347031 s
[2018-10-18 02:29:36,989][INFO] ------------------------------
[2018-10-18 02:32:11,824][INFO] [50/200] Train loss: 216.718328 
[2018-10-18 02:32:12,965][INFO] [50/200] Validation loss: 231.867314 
[2018-10-18 02:32:12,969][INFO] [50/200] Time: 155.978288 s
[2018-10-18 02:32:12,970][INFO] ------------------------------
[2018-10-18 02:34:38,038][INFO] [51/200] Train loss: 224.248803 
[2018-10-18 02:34:39,299][INFO] [51/200] Validation loss: 238.533726 
[2018-10-18 02:34:39,303][INFO] [51/200] Time: 146.331786 s
[2018-10-18 02:34:39,305][INFO] ------------------------------
[2018-10-18 02:37:14,784][INFO] [52/200] Train loss: 230.564234 
[2018-10-18 02:37:16,122][INFO] [52/200] Validation loss: 245.374901 
[2018-10-18 02:37:16,125][INFO] [52/200] Time: 156.819273 s
[2018-10-18 02:37:16,127][INFO] ------------------------------
[2018-10-18 02:40:00,036][INFO] [53/200] Train loss: 188.592401 
[2018-10-18 02:40:01,236][INFO] [53/200] Validation loss: 203.647917 
[2018-10-18 02:40:01,272][INFO] [53/200] Time: 165.143564 s
[2018-10-18 02:40:01,273][INFO] ------------------------------
[2018-10-18 02:42:43,625][INFO] [54/200] Train loss: 228.357761 
[2018-10-18 02:42:44,849][INFO] [54/200] Validation loss: 240.714497 
[2018-10-18 02:42:44,852][INFO] [54/200] Time: 163.577880 s
[2018-10-18 02:42:44,853][INFO] ------------------------------
[2018-10-18 02:45:24,155][INFO] [55/200] Train loss: 164.543251 
[2018-10-18 02:45:25,457][INFO] [55/200] Validation loss: 178.617606 
[2018-10-18 02:45:25,492][INFO] [55/200] Time: 160.638104 s
[2018-10-18 02:45:25,493][INFO] ------------------------------
[2018-10-18 02:47:58,709][INFO] [56/200] Train loss: 239.718585 
[2018-10-18 02:47:59,947][INFO] [56/200] Validation loss: 252.155198 
[2018-10-18 02:47:59,949][INFO] [56/200] Time: 154.454537 s
[2018-10-18 02:47:59,950][INFO] ------------------------------
[2018-10-18 02:50:35,826][INFO] [57/200] Train loss: 275.982895 
[2018-10-18 02:50:37,067][INFO] [57/200] Validation loss: 290.461330 
[2018-10-18 02:50:37,070][INFO] [57/200] Time: 157.119076 s
[2018-10-18 02:50:37,072][INFO] ------------------------------
[2018-10-18 02:53:21,141][INFO] [58/200] Train loss: 225.384049 
[2018-10-18 02:53:22,365][INFO] [58/200] Validation loss: 240.112202 
[2018-10-18 02:53:22,368][INFO] [58/200] Time: 165.294753 s
[2018-10-18 02:53:22,369][INFO] ------------------------------
[2018-10-18 02:55:55,168][INFO] [59/200] Train loss: 184.444907 
[2018-10-18 02:55:56,435][INFO] [59/200] Validation loss: 195.533919 
[2018-10-18 02:55:56,438][INFO] [59/200] Time: 154.067648 s
[2018-10-18 02:55:56,440][INFO] ------------------------------
[2018-10-18 02:58:32,563][INFO] [60/200] Train loss: 198.392516 
[2018-10-18 02:58:33,862][INFO] [60/200] Validation loss: 211.795114 
[2018-10-18 02:58:33,864][INFO] [60/200] Time: 157.423373 s
[2018-10-18 02:58:33,865][INFO] ------------------------------
[2018-10-18 03:00:54,054][INFO] [61/200] Train loss: 162.737488 
[2018-10-18 03:00:55,256][INFO] [61/200] Validation loss: 176.049954 
[2018-10-18 03:00:55,293][INFO] [61/200] Time: 141.426504 s
[2018-10-18 03:00:55,294][INFO] ------------------------------
[2018-10-18 03:03:21,170][INFO] [62/200] Train loss: 254.982166 
[2018-10-18 03:03:22,504][INFO] [62/200] Validation loss: 271.257859 
[2018-10-18 03:03:22,507][INFO] [62/200] Time: 147.210779 s
[2018-10-18 03:03:22,508][INFO] ------------------------------
[2018-10-18 03:06:02,332][INFO] [63/200] Train loss: 184.731841 
[2018-10-18 03:06:03,655][INFO] [63/200] Validation loss: 196.738486 
[2018-10-18 03:06:03,659][INFO] [63/200] Time: 161.149562 s
[2018-10-18 03:06:03,660][INFO] ------------------------------
[2018-10-18 03:08:34,469][INFO] [64/200] Train loss: 224.483869 
[2018-10-18 03:08:35,737][INFO] [64/200] Validation loss: 238.463995 
[2018-10-18 03:08:35,741][INFO] [64/200] Time: 152.079972 s
[2018-10-18 03:08:35,742][INFO] ------------------------------
[2018-10-18 03:11:12,479][INFO] [65/200] Train loss: 179.443879 
[2018-10-18 03:11:13,615][INFO] [65/200] Validation loss: 189.316329 
[2018-10-18 03:11:13,618][INFO] [65/200] Time: 157.874897 s
[2018-10-18 03:11:13,619][INFO] ------------------------------
[2018-10-18 03:13:49,093][INFO] [66/200] Train loss: 171.203059 
[2018-10-18 03:13:50,361][INFO] [66/200] Validation loss: 183.553197 
[2018-10-18 03:13:50,365][INFO] [66/200] Time: 156.744091 s
[2018-10-18 03:13:50,366][INFO] ------------------------------
[2018-10-18 03:16:30,361][INFO] [67/200] Train loss: 189.912263 
[2018-10-18 03:16:31,611][INFO] [67/200] Validation loss: 203.088467 
[2018-10-18 03:16:31,613][INFO] [67/200] Time: 161.246159 s
[2018-10-18 03:16:31,614][INFO] ------------------------------
[2018-10-18 03:19:00,779][INFO] [68/200] Train loss: 158.762014 
[2018-10-18 03:19:02,008][INFO] [68/200] Validation loss: 173.195847 
[2018-10-18 03:19:02,042][INFO] [68/200] Time: 150.426683 s
[2018-10-18 03:19:02,043][INFO] ------------------------------
[2018-10-18 03:21:40,419][INFO] [69/200] Train loss: 391.652406 
[2018-10-18 03:21:41,635][INFO] [69/200] Validation loss: 407.080088 
[2018-10-18 03:21:41,638][INFO] [69/200] Time: 159.593880 s
[2018-10-18 03:21:41,640][INFO] ------------------------------
[2018-10-18 03:24:13,421][INFO] [70/200] Train loss: 182.665308 
[2018-10-18 03:24:14,725][INFO] [70/200] Validation loss: 198.972987 
[2018-10-18 03:24:14,729][INFO] [70/200] Time: 153.088236 s
[2018-10-18 03:24:14,731][INFO] ------------------------------
[2018-10-18 03:26:58,465][INFO] [71/200] Train loss: 249.776811 
[2018-10-18 03:26:59,759][INFO] [71/200] Validation loss: 263.672891 
[2018-10-18 03:26:59,762][INFO] [71/200] Time: 165.030617 s
[2018-10-18 03:26:59,764][INFO] ------------------------------
[2018-10-18 03:29:31,244][INFO] [72/200] Train loss: 202.103961 
[2018-10-18 03:29:32,493][INFO] [72/200] Validation loss: 215.663604 
[2018-10-18 03:29:32,497][INFO] [72/200] Time: 152.731982 s
[2018-10-18 03:29:32,498][INFO] ------------------------------
[2018-10-18 03:32:15,498][INFO] [73/200] Train loss: 207.693147 
[2018-10-18 03:32:16,752][INFO] [73/200] Validation loss: 221.382390 
[2018-10-18 03:32:16,755][INFO] [73/200] Time: 164.256440 s
[2018-10-18 03:32:16,757][INFO] ------------------------------
[2018-10-18 03:34:51,983][INFO] [74/200] Train loss: 198.530430 
[2018-10-18 03:34:53,278][INFO] [74/200] Validation loss: 211.371327 
[2018-10-18 03:34:53,282][INFO] [74/200] Time: 156.524122 s
[2018-10-18 03:34:53,284][INFO] ------------------------------
[2018-10-18 03:37:39,563][INFO] [75/200] Train loss: 185.262970 
[2018-10-18 03:37:40,814][INFO] [75/200] Validation loss: 200.527987 
[2018-10-18 03:37:40,817][INFO] [75/200] Time: 167.532554 s
[2018-10-18 03:37:40,819][INFO] ------------------------------
[2018-10-18 03:40:23,968][INFO] [76/200] Train loss: 164.707031 
[2018-10-18 03:40:25,269][INFO] [76/200] Validation loss: 178.970409 
[2018-10-18 03:40:25,272][INFO] [76/200] Time: 164.452563 s
[2018-10-18 03:40:25,274][INFO] ------------------------------
[2018-10-18 03:43:03,049][INFO] [77/200] Train loss: 180.089485 
[2018-10-18 03:43:04,383][INFO] [77/200] Validation loss: 195.049933 
[2018-10-18 03:43:04,386][INFO] [77/200] Time: 159.111491 s
[2018-10-18 03:43:04,388][INFO] ------------------------------
[2018-10-18 03:45:36,060][INFO] [78/200] Train loss: 192.127840 
[2018-10-18 03:45:37,295][INFO] [78/200] Validation loss: 204.689448 
[2018-10-18 03:45:37,298][INFO] [78/200] Time: 152.909668 s
[2018-10-18 03:45:37,299][INFO] ------------------------------
[2018-10-18 03:48:16,774][INFO] [79/200] Train loss: 149.605865 
[2018-10-18 03:48:18,095][INFO] [79/200] Validation loss: 161.079293 
[2018-10-18 03:48:18,128][INFO] [79/200] Time: 160.827769 s
[2018-10-18 03:48:18,129][INFO] ------------------------------
[2018-10-18 03:50:58,305][INFO] [80/200] Train loss: 156.705230 
[2018-10-18 03:50:59,627][INFO] [80/200] Validation loss: 169.935528 
[2018-10-18 03:50:59,631][INFO] [80/200] Time: 161.500751 s
[2018-10-18 03:50:59,632][INFO] ------------------------------
